track_id,track_popularity,track_album_id,processed_track_name,track_length,track_word_count,track_sentiment,processed_track_artist,artist_length,artist_word_count,artist_sentiment,processed_track_album_name,album_length,album_word_count,album_sentiment,track_album_release_year,track_album_release_month,track_album_release_day
6BPCpox5FMswnClsJhxaws,32,4zuAowoRC2ojz0QJwbmSUS,fooling,7,1,0.0,odd chap,8,2,-0.16666666666666666,vintage jukebox ep 2,20,4,0.0,2019,3,1
1fCD8KvWR3y0Y80at1i4Le,54,4jt7MDWCNhXZ09bU03NGgk,kitipun,7,1,0.0,juan luis guerra 440,20,4,0.0,literal,7,1,0.0,2019,5,31
0CJmYEsImHZ42f7W6ntlX2,47,1cInbcKRuvIvW8pj9daIJU,hand air,8,2,0.0,8ball,5,1,0.0,2 fast 2 furious soundtrack,27,5,0.2,2003,1,1
0SfCG1utWyG5qWZE0feV6S,58,4kDACRZ2N75z5MTHjlRMs4,eins zwei,9,2,0.0,ummet ozcan,11,2,0.0,eins zwei,9,2,0.0,2019,3,4
0UnjUj5D9vPhYOPK4Ifwwh,38,3jTTLPuVcL6J9pgujnU1lS,golden green,12,2,0.04999999999999999,agnes obel,10,2,0.0,citizen glass,13,2,0.0,2016,10,21
1nL7QwSN7LtPCZqgw1n3Ee,31,5tqCOMWeGTJNdYGUs1Iref,gtfo,4,1,0.0,sascha,6,1,0.0,gtfo,4,1,0.0,2019,10,11
0GJiqR0uCbQQxYelOClLbS,34,0kT7xGB6pm0jJs5FAvsM4J,nothing gon na stop u,21,5,0.0,tamara perez,12,2,0.0,ive loved want love,19,4,0.6,2016,6,20
1iKyjqjWU1rb8NjNjFafRJ,27,1TqxPK0f5J3H0qhuKaMgNR,karibu radio edit,17,3,0.0,lago,4,1,0.0,karibu,6,1,0.0,2015,7,24
3LUWWox8YYykohBbHUrrxd,71,0pGumY11G8OGH05ti6jh23,r r,3,2,0.0,kesha,5,1,0.0,cannibal expanded edition,25,3,0.0,2010,11,19
5jFiyUs5R6kHuKbAs0ZU2s,56,1x6bJdWl3Imquoi2Mu0BsC,let snow,8,2,0.0,boyz ii men,11,3,0.0,best of20th century master christmas collection,47,6,1.0,1993,10,5
1CmGzrH5UKJZROPnaMWTaQ,40,46wbJKiMEFOoedTQHYHeEy,shoot,5,1,0.0,alice francis,13,2,0.0,st james ballroom,17,3,0.0,2014,1,16
6DIW7GJbuGZdHolRcPWprP,2,04TsF8IFb70DdBYDT8egvw,roller coaster,14,2,0.0,chung ha,8,2,0.0,offset,6,1,0.0,2018,1,18
56sk7jBpZV0CD31G9hEU3b,72,4ZDwEvXIKxWdwhAQK8ndBU,animal become,13,2,0.0,three day grace,15,3,0.0,onex,4,1,0.0,2006,6,25
3OSFefosO5NYbS2x0GTLDo,68,3SIv3EBWh8um6Hk0KUHYYo,eh baba,7,2,0.0,murda,5,1,0.0,eh baba,7,2,0.0,2020,1,10
1ju7EsSGvRybSNEsRvc7qY,69,6DExt1eX4lflLacVjHHbOs,simple man,10,2,0.0,lynyrd skynyrd,14,2,0.0,pronounced lehnerd skinnerd,27,3,0.0,1973,1,1
5itV76hYlBdBeUIMZlkRwE,41,4mk2tlpNn3mQKa6TlNNhnc,perfect blue,12,2,0.5,macross 8299,12,2,0.0,cham,4,1,0.0,2015,10,21
5L0KDoZklMgs9GPoonneEl,63,0fQdoem8dnrl80YcZzQ8f0,nice slow,9,2,0.14999999999999997,usher,5,1,0.0,way,3,1,0.0,1997,9,16
5eBj4lBOU7yeOTAi92VNk8,39,5dbmnb8TESKhg3OnvIeedp,dmt original mix,16,3,0.375,camelphat,9,1,0.0,solution,8,1,0.0,2018,7,20
4PREkXFb8YawThmhZICrXR,52,3OIjlStgBVQfGjkiftDAZp,rider storm new stereo mix,26,5,0.13636363636363635,door,4,1,0.0,future start essential door hit,31,5,0.0,2008,1,28
5wO14EzcJEdnaDRmI35PEP,21,1Og869cgT2qBmDw84KeUvk,grow old,8,2,0.1,john lennon,11,2,0.0,gim truth,9,2,0.0,2010,10,5
0TK2YIli7K1leLovkQiNik,93,2ZaX1FdZCwchXl1QZiD4O4,senorita,8,1,0.0,shawn mendes,12,2,0.0,senorita,8,1,0.0,2019,6,21
6PMU1fJY4Gly94ZBrkOa89,0,6YkwaOVWBBhkHYLhUXwdgX,bitch better money gta remix,28,5,0.5,rihanna,7,1,0.0,bitch better money gta remix,28,5,0.5,2015,5,3
6DB2KOEwHnjkgEnBt5SdeJ,68,0HO6tgtGKAZTGGC7nk8dYQ,mask remix,10,2,0.0,future,6,1,0.0,mask remix,10,2,0.0,2017,5,23
5UbJK7IHuc6BSZCwagzp3L,1,4BSvr6wzkjv5t76Sw067hI,get money,9,2,0.0,50 cent,7,2,0.0,curtis,6,1,0.0,2007,1,1
3LvPRA6n1Hr3ia6tGfScg6,41,3YVIPLkE6VITT1J1tubi0X,chama,5,1,0.0,mc maneirinho,13,2,0.0,chama,5,1,0.0,2018,9,21
4DQTdFaGep7IsnB4duY1xM,36,7rR5IWggq4T3MpYOCyWdHw,beat like drum,14,3,0.0,jenil,5,1,0.0,beat like drum,14,3,0.0,2019,4,26
09YXhYMYIHZBHVKGEQrSQF,55,2piXcsaXhEcRXaSXVfe4aw,return love,11,2,0.5,andrea bocelli,14,2,0.0,return love,11,2,0.5,2019,10,3
6dKOpmTOzAVnaHqq7hqkJa,26,5EzHlBlGg0zJx8uGr6hj5I,stage,5,1,0.0,keita,5,1,0.0,stage,5,1,0.0,2019,12,18
7dIB8pFLlM9fHHj8VcjDer,58,3gttZZF6xNOuEn4qKrlp7c,neck wood,9,2,0.0,upchurch,8,1,0.0,supernatural,12,1,0.16666666666666666,2018,8,19
6mhiCvUbK5Jq2Ho05kgaa5,35,4RQE6YBWVnSJHGzHOYUm2i,lambo,5,1,0.0,vfm style,9,2,0.0,lambo,5,1,0.0,2018,10,17
119c93MHjrDLJTApCVGpvx,72,3tQd5mwBtVyxCoEo4htGAV,cream,5,1,0.0,wutang clan,11,2,0.0,enter wutang 36 chamber expanded edition,40,6,0.0,1993,11,9
0jdeEv8NTDoB2uetW1wXPO,25,4LbbUj2bytdZ1PWEs69QCn,giving benefit,14,2,0.0,pebble,6,1,0.0,90 soul number 1,16,4,0.0,2007,1,1
6it15CsDlkqB7N4lF0C1qM,77,7CjJb2mikwAWA1V6kewFBF,caro,4,1,0.0,bad bunny,9,2,-0.6999999999999998,x 100pre,8,2,0.0,2018,12,23
6MJaRAIaYhE1LFRhuF9a3O,50,25nyfrSL8KrKp5UBPpkI0y,novocaine,9,1,0.0,valentino khan,14,2,0.0,novocaine,9,1,0.0,2019,1,16
7uj8AUQSUg8ZAzabYLwt8f,72,7kaO0wgFXhAX9h1pfxZHmn,moneyhoneydrip,14,1,0.0,jamule,6,1,0.0,moneyhoneydrip,14,1,0.0,2019,9,26
